hs6,chapter,heading,description
420100,42,4201,"saddlery and harness for any animal (including traces, leads, knee pads, muzzles, saddle cloths, saddle bags, dog coats and the like), of any material."
420211,42,4202,"trunks, suit-cases, vanity-cases, executive-cases, brief-cases, school satchels, spectacle cases, binocular cases, camera cases, musical instrument cases, gun cases, holsters and similar containers; travelling-bags, insulated food or beverages bags, toilet bags, rucksacks, handbags, shopping-bags, wallets, purses, map-cases, cigarette-cases, tobacco-pouches, tool bags, sports bags, bottle-cases, jewellery boxes, powder-boxes, cutlery cases and similar containers, of leather or of composition leather, of sheeting of plastics, of textile materials, of vulcanised fibre or of paperboard, or wholly or mainly covered with such materials or with paper. - trunks, suit-cases, vanity-cases, executive-cases, brief-cases, school satchels and similar containers : -- with outer surface of leather or of composition leather"
420212,42,4202,"trunks, suit-cases, vanity-cases, executive-cases, brief-cases, school satchels and similar containers : -- with outer surface of plastics or of textile materials"
420219,42,4202,"trunks, suit-cases, vanity-cases, executive-cases, brief-cases, school satchels and similar containers : -- other"
420221,42,4202,"handbags, whether or not with shoulder strap, including those without handle : -- with outer surface of leather or of composition leather"
420222,42,4202,"handbags, whether or not with shoulder strap, including those without handle : -- with outer surface of sheeting of plastics or of textile materials"
420229,42,4202,"handbags, whether or not with shoulder strap, including those without handle : -- other"
420231,42,4202,articles of a kind normally carried in the pocket or in the handbag : -- with outer surface of leather or of composition leather
420232,42,4202,articles of a kind normally carried in the pocket or in the handbag : -- with outer surface of sheeting of plastics or of textile materials
420239,42,4202,articles of a kind normally carried in the pocket or in the handbag : -- other
420291,42,4202,other : -- with outer surface of leather or of composition leather
420292,42,4202,other : -- with outer surface of sheeting of plastics or of textile materials
420299,42,4202,other : -- other
420310,42,4203,"articles of apparel and clothing accessories, of leather or of composition leather. - articles of apparel"
420321,42,4203,"gloves, mittens and mitts : -- specially designed for use in sports"
420329,42,4203,"gloves, mittens and mitts : -- other"
420330,42,4203,belts and bandoliers
420340,42,4203,other clothing accessories
420500,42,4205,other articles of leather or of composition leather.
420600,42,4206,"articles of gut (other than silk-worm gut), of goldbeaters skin, of bladders or of tendons."
610120,61,6101,"mens or boys overcoats, car-coats, capes, cloaks, anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles, knitted or crocheted, other than those of heading 61.03. - of cotton"
610130,61,6101,"mens or boys overcoats, car-coats, capes, cloaks, anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles, knitted or crocheted, other than those of heading 61.03. - of man-made fibres"
610190,61,6101,"mens or boys overcoats, car-coats, capes, cloaks, anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles, knitted or crocheted, other than those of heading 61.03. - of other textile materials"
610210,61,6102,"womens or girls overcoats, car-coats, capes, cloaks, anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles, knitted or crocheted, other than those of heading 61.04. - of wool or fine animal hair"
610220,61,6102,"womens or girls overcoats, car-coats, capes, cloaks, anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles, knitted or crocheted, other than those of heading 61.04. - of cotton"
610230,61,6102,"womens or girls overcoats, car-coats, capes, cloaks, anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles, knitted or crocheted, other than those of heading 61.04. - of man-made fibres"
