hs6,description
010121,"horses; live, pure-bred breeding animals"
010129,"horses; live, other than pure-bred breeding animals"
010130,asses; live
010190,mules and hinnies; live
010221,"cattle; live, pure-bred breeding animals"
010229,"cattle; live, other than pure-bred breeding animals"
010231,"buffalo; live, pure-bred breeding animals"
010239,"buffalo; live, other than pure-bred breeding animals"
010290,"bovine animals; live, other than cattle and buffalo"
010310,"swine; live, pure-bred breeding animals"
010391,"swine; live, other than pure-bred breeding animals, weighing less than 50kg"
010392,"swine; live, other than pure-bred breeding animals, weighing 50kg or more"
010410,sheep; live
010420,goats; live
010511,"poultry; live, fowls of the species gallus domesticus, weighing not more than 185g"
010512,"poultry; live, turkeys, weighing not more than 185g"
010513,"poultry; live, ducks, weighing not more than 185g"
010514,"poultry; live, geese, weighing not more than 185g"
010515,"poultry; live, guinea fowls, weighing not more than 185g"
010594,"poultry; live, fowls of the species gallus domesticus, weighing more than 185g"
010599,"poultry; live, ducks, geese, turkeys and guinea fowls, weighing more than 185g"
010611,"mammals; live, primates"
010612,"mammals; live, whales, dolphins and porpoises (mammals of the order cetacea); manatees and dugongs (mammals of the order sirenia); seals, sea lions and walruses (mammals of the suborder pinnipedia)"
010613,"mammals; live, camels and other camelids (camelidae)"
010614,"mammals; live, rabbits and hares"
010619,"mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order cetacea); manatees, dugongs (mammals of the order sirenia); seals, sea lions, walruses (mammals of the suborder pinnipedia), camels, other camelids, rabbits and hares"
010620,reptiles; live (including snakes and turtles)
010631,"birds; live, birds of prey"
010632,"birds; live, psittaciformes"
010633,"birds; live, ostriches; emus (dromaius novaehollandiae)"
010639,"birds; live, other than birds of prey, psittaciformes, ostriches and emus (dromaius novaehollandiae)"
010641,"insects; live, bees"
010649,"insects; live, other than bees"
010690,"animals; live, n.e.c. in chapter 01, other than mammals, reptiles, birds and insects"
020110,"meat; of bovine animals, carcasses and half-carcasses, fresh or chilled"
020120,"meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled"
020130,"meat; of bovine animals, boneless cuts, fresh or chilled"
020210,"meat; of bovine animals, carcasses and half-carcasses, frozen"
020220,"meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), frozen"
020230,"meat; of bovine animals, boneless cuts, frozen"
020311,"meat; of swine, carcasses and half-carcasses, fresh or chilled"
020312,"meat; of swine, hams, shoulders and cuts thereof, with bone in, fresh or chilled"
020319,"meat; of swine, n.e.c. in item no. 0203.1, fresh or chilled"
020321,"meat; of swine, carcasses and half-carcasses, frozen"
020322,"meat; of swine, hams, shoulders and cuts thereof, with bone in, frozen"
020329,"meat; of swine, n.e.c. in item no. 0203.2, frozen"
020410,"meat; of sheep, lamb carcasses and half-carcasses, fresh or chilled"
020421,"meat; of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), fresh or chilled"
020422,"meat; of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled"
020423,"meat; of sheep (including lamb), boneless cuts, fresh or chilled"
020430,"meat; of sheep, lamb carcasses and half-carcasses, frozen"
020441,"meat; of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), frozen"
020442,"meat; of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), frozen"
020443,"meat; of sheep (including lamb), boneless cuts, frozen"
020450,"meat; of goats, fresh, chilled or frozen"
020500,"meat; of horses, asses, mules or hinnies, fresh, chilled or frozen"
020610,"offal, edible; of bovine animals, fresh or chilled"
020621,"offal, edible; of bovine animals, tongues, frozen"
020622,"offal, edible; of bovine animals, livers, frozen"
020629,"offal, edible; of bovine animals, (other than tongues and livers), frozen"
020630,"offal, edible; of swine, fresh or chilled"
020641,"offal, edible; of swine, livers, frozen"
020649,"offal, edible; of swine, (other than livers), frozen"
020680,"offal, edible; of sheep, goats, horses, asses, mules or hinnies, fresh or chilled"
020690,"offal, edible; of sheep, goats, horses, asses, mules or hinnies, frozen"
020711,"meat and edible offal; of fowls of the species gallus domesticus, not cut in pieces, fresh or chilled"
020712,"meat and edible offal; of fowls of the species gallus domesticus, not cut in pieces, frozen"
020713,"meat and edible offal; of fowls of the species gallus domesticus, cuts and offal, fresh or chilled"
020714,"meat and edible offal; of fowls of the species gallus domesticus, cuts and offal, frozen"
020724,"meat and edible offal; of turkeys, not cut in pieces, fresh or chilled"
020725,"meat and edible offal; of turkeys, not cut in pieces, frozen"
020726,"meat and edible offal; of turkeys, cuts and offal, fresh or chilled"
020727,"meat and edible offal; of turkeys, cuts and offal, frozen"
020741,"meat and edible offal; of ducks, not cut in pieces, fresh or chilled"
020742,"meat and edible offal; of ducks, not cut in pieces, frozen"
020743,"meat and edible offal; of ducks, fatty livers (foie gras), fresh or chilled"
020744,"meat and edible offal; of ducks, cuts and offal, excluding fatty livers, fresh or chilled"
020745,"meat and edible offal; of ducks, cuts and offal, excluding fatty livers, frozen"
020751,"meat and edible offal; of geese, not cut in pieces, fresh or chilled"
020752,"meat and edible offal; of geese, not cut in pieces, frozen"
020753,"meat and edible offal; of geese, fatty livers (foie gras), fresh or chilled"
020754,"meat and edible offal; of geese, cuts and offal, excluding fatty livers, fresh or chilled"
020755,"meat and edible offal; of geese, cuts and offal, excluding fatty livers, frozen"
020760,"meat and edible offal; of guinea fowls, fresh, chilled or frozen"
020810,"meat and edible meat offal; of rabbits or hares, fresh, chilled or frozen"
020830,"meat and edible meat offal; of primates, fresh, chilled or frozen"
020840,"meat and edible meat offal; of whales, dolphins and porpoises (mammals of the order cetacea); of manatees and dugongs (mammals of the order sirenia); of seals, sea lions and walruses (mammals of the suborder pinnipedia), fresh, chilled or frozen"
020850,"meat and edible meat offal; of reptiles (including snakes and turtles), fresh, chilled or frozen"
020860,"meat and edible meat offal; of camels and other camelids (camelidae), fresh, chilled or frozen"
020890,"meat and edible meat offal; n.e.c. in chapter 2, fresh, chilled or frozen"
020910,"fat; pig fat, free of lean meat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked"
020990,"fat; poultry fat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked"
021011,"meat; salted, in brine, dried or smoked, of swine, hams, shoulders and cuts thereof, with bone in"
021012,"meat; salted, in brine, dried or smoked, of swine, bellies (streaky) and cuts thereof"
021019,"meat; salted in brine, dried or smoked, of swine, n.e.c. in item no. 0210.1"
021020,"meat; salted, in brine, dried or smoked, of bovine animals"
021091,"meat and edible meat offal; salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, of primates"
021092,"meat and edible meat offal; salted, in brine, dried or smoked; edible flours, meals of meat or meat offal, of whales, dolphins, porpoises (of order cetacea); manatees, dugongs (of order sirenia); seals, sea lions, and walruses (of suborder pinnipedia)"
021093,"meat and edible meat offal; salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, of reptiles (including snakes and turtles)"
021099,"meat and edible meat offal; salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, other than of primates, whales, dolphins, porpoises, manatees, dugongs, seals, sea lions, walruses, reptiles (including snakes and turtles)"
030111,"fish; live, ornamental, freshwater"
030119,"fish; live, ornamental, other than freshwater"
030191,"fish; live, trout (salmo trutta, oncorhynchus mykiss, oncorhynchus clarki, oncorhynchus aguabonita, oncorhynchus gilae, oncorhynchus apache and oncorhynchus chrysogaster)"
030192,"fish; live, eels (anguilla spp.)"
030193,"fish; live, carp (cyprinus spp., carassius spp., ctenopharyngodon idellus, hypophthalmichthys spp., cirrhinus spp., mylopharyngodon piceus, catla catla, labeo spp., osteochilus hasselti, leptobarbus hoeveni, megalobrama spp.)"
030194,"fish; live, atlantic and pacific bluefin tunas (thunnus thynnus, thunnus orientalis)"
030195,"fish; live, southern bluefin tunas (thunnus maccoyii)"
030199,"fish; live, n.e.c. in heading 0301"
030211,"fish; fresh or chilled, trout (salmo trutta, oncorhynchus mykiss, oncorhynchus clarki, oncorhynchus aguabonita, oncorhynchus gilae, oncorhynchus apache and oncorhynchus chrysogaster), excluding fillets, fish meat of 0304, and edible fish offal of 0302.9"
030213,"fish; fresh or chilled, pacific salmon (oncorhynchus nerka, oncorhynchus gorbuscha, oncorhynchus keta, oncorhynchus tschawytscha, oncorhynchus kisutch, oncorhynchus masou, oncorhynchus rhodurus), not fillets, meat of 0304, and edible fish offal of 0302.9"
030214,"fish; fresh or chilled, atlantic salmon (salmo salar) and danube salmon (hucho hucho), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030219,"fish; fresh or chilled, salmonidae, n.e.c. in item no. 0302.1, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030221,"fish; fresh or chilled, halibut (reinhardtius hippoglossoides, hippoglossus hippoglossus, hippoglossus stenolepis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030222,"fish; fresh or chilled, plaice (pleuronectes platessa), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030223,"fish; fresh or chilled, sole (solea spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030224,"fish; fresh or chilled, turbots (psetta maxima, scophthalmidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030229,"fish; fresh or chilled, flat fish, n.e.c. in item no. 0302.2, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030231,"fish; fresh or chilled, albacore or longfinned tunas (thunnus alalunga), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030232,"fish; fresh or chilled, yellowfin tunas (thunnus albacares), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030233,"fish; fresh or chilled, skipjack tuna (stripe-bellied bonito) (katsuwonus pelamis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030234,"fish; fresh or chilled, bigeye tunas (thunnus obesus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030235,"fish; fresh or chilled, atlantic and pacific bluefin tunas (thunnus thynnus, thunnus orientalis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030236,"fish; fresh or chilled, southern bluefin tunas (thunnus maccoyii), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030239,"fish; fresh or chilled, tuna, n.e.c. in item no. 0302.3, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030241,"fish; fresh or chilled, herrings (clupea harengus, clupea pallasii), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030242,"fish; fresh or chilled, anchovies (engraulis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
